Section	Key	English	Amharic	Oromo	Tigrinya	Somali
common	common.loading	Loading...	በመጫን ላይ...	Fe'aa jira...	ይጸዓን ኣሎ...	Waa la soo rarayaa...
common	common.save	Save	አስቀምጥ	Olchi	ኣቐምጥ	Kaydi
common	common.cancel	Cancel	ሰርዝ	Haqi	ሰርዝ	Ka noqo
common	common.delete	Delete	ሰርዝ	Haqi	ደምስስ	Tirtir
common	common.edit	Edit	አርትዕ	Gulaali	ኣርትዕ	Wax ka bedel
common	common.create	Create	ፍጠር	Uumi	ፍጠር	Samee
common	common.search	Search	ፈልግ	Barbaadi	ድለ	Raadi
common	common.filter	Filter	አጣራ	Calalii	ጸሪ	Shaandhee
common	common.export	Export	ላክ	Ergi	ስደድ	Dhoofso
common	common.import	Import	አስገባ	Galchi	ኣእቱ	Soo dhoofi
common	common.back	Back	ተመለስ	Duuba	ተመለስ	Dib u noqo
common	common.next	Next	ቀጣይ	Itti Aanee	ዝቕጽል	Xiga
common	common.submit	Submit	አስገባ	Galchi	ኣእቱ	Gudbi
common	common.confirm	Confirm	አረጋግጥ	Mirkaneessi	ኣረጋግጽ	Xaqiiji
common	common.close	Close	ዝጋ	Cufi	ዕጸው	Xidh
common	common.yes	Yes	አዎ	Eeyyee	እወ	Haa
common	common.no	No	አይ	Lakki	ኣይፋል	Maya
common	common.or	or	ወይም	ykn	ወይ	ama
common	common.and	and	እና	fi	ን	iyo
common	common.all	All	ሁሉም	Hundaa	ኩሉ	Dhammaan
common	common.none	None	ምንም	Homaa	ዋላሓደ	Midna
common	common.noResults	No results found	ምንም ውጤት አልተገኘም	Bu'aan hin argamne	ውጽኢት ኣይተረኽበን	Natiijo lama helin
common	common.viewAll	View all	ሁሉንም ይመልከቱ	Hundaa Ilaali	ኩሉ ርአ	Dhammaan arag
common	common.learnMore	Learn more	ተጨማሪ ይወቁ	Dabalata Barbaadi	ተወሳኺ ፍለጥ	Wax badan baro
common	common.getStarted	Get Started	ጀምር	Jalqabi	ጀምር	Bilow
common	common.signIn	Sign In	ግባ	Seeni	እቶ	Soo gal
common	common.signUp	Sign Up	ተመዝገብ	Galmaa'i	ተመዝገብ	Isdiiwaangeli
common	common.signOut	Sign Out	ውጣ	Ba'i	ውጻእ	Ka bax
common	common.continueBtn	Continue	ቀጥል	Itti Fufi	ቀጽል	Sii wad
common	common.refresh	Refresh	አድስ	Haaromsi	ኣሐድስ	Cusboonaysii
common	common.actions	Actions	ድርጊቶች	Gocha	ተግባራት	Ficilada
common	common.status	Status	ሁኔታ	Haala	ኩነታ	Xaalad
common	common.name	Name	ስም	Maqaa	ስም	Magac
common	common.description	Description	ገለጻ	Ibsa	መግለጺ	Sharaxaad
common	common.date	Date	ቀን	Guyyaa	ዕለት	Taariikh
common	common.type	Type	ዓይነት	Gosa	ዓይነት	Nooc
common	common.tags	Tags	መለያዎች	Mallattoolee	መለለዪታት	Summado
common	common.notes	Notes	ማስታወሻዎች	Yaadannoo	ማስታወሻታት	Qoraallo
common	common.project	Project	ፕሮጀክት	Pirojektii	ፕሮጀክት	Mashruuc
common	common.title	Title	ርዕስ	Mata-duree	ኣርእስቲ	Cinwaan
common	common.owner	Owner	ባለቤት	Abbaa Qabeenyaa	ዋና	Milkiilaha
common	common.lead	Lead	መሪ	Hogganaa	መራሒ	Hogaamiyaha
common	common.assignee	Assignee	ተመዳቢ	Itti Ramadame	ተመዳቢ	Qofka loo xilsaaray
common	common.unassigned	Unassigned	ያልተመደበ	Hin Ramadamne	ዘይተመደበ	La xilsaarin
common	common.priority	Priority	ቅድሚያ	Dursa	ቀዳምነት	Mudnaanta
common	common.dueDate	Due Date	የመጨረሻ ቀን	Guyyaa Xumuraa	ናይ ምውዳእ ዕለት	Taariikhda dhammaadka
common	common.startDate	Start Date	የመጀመሪያ ቀን	Guyyaa Jalqabaa	ናይ ምጅማር ዕለት	Taariikhda bilowga
common	common.createdDate	Created Date	የተፈጠረበት ቀን	Guyyaa Uumame	ዝተፈጥረሉ ዕለት	Taariikhda la sameeyey
common	common.notSet	Not set	አልተቀመጠም	Hin qindaa'in	ኣይተቐመጠን	Lama dejin
